"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ACEVEDO, SERGIO EDGARDO","Por Santa Cruz","Santa Cruz","NEGATIVO"
"AGOST CARREÑO, OSCAR","Encuentro Federal","Córdoba","AFIRMATIVO"
"AGUIRRE, HILDA","Union Por La Patria","La Rioja","NEGATIVO"
"AGUIRRE, MANUEL IGNACIO","Democracia Para Siempre","Corrientes","AFIRMATIVO"
"AJMECHET, SABRINA","Pro","C.A.B.A.","AFIRMATIVO"
"ALI, ERNESTO ""PIPI""","Union Por La Patria","San Luis","NEGATIVO"
"ALIANIELLO, EUGENIA","Union Por La Patria","Chubut","NEGATIVO"
"ALLENDE, WALBERTO","Union Por La Patria","San Juan","AUSENTE"
"ALMIRON, LISANDRO","La Libertad Avanza","Corrientes","AFIRMATIVO"
"ALONSO, CONSTANZA MARIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"ANSALONI, PABLO","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"ANTOLA, MARCELA","Democracia Para Siempre","Entre Ríos","AFIRMATIVO"
"ARABIA, DAMIAN","Pro","C.A.B.A.","AFIRMATIVO"
"ARANCIBIA RODRIGUEZ, ALBERTO GUSTAVO","La Libertad Avanza","San Luis","AFIRMATIVO"
"ARAUJO HERNANDEZ, JORGE NERI","Union Por La Patria","Tierra del Fuego","NEGATIVO"
"ARAUJO, MARIA FERNANDA","La Libertad Avanza","C.A.B.A.","AFIRMATIVO"
"ARDOHAIN, MARTIN","Pro","La Pampa","AFIRMATIVO"
"ARJOL, MARTIN","Ucr - Union Civica Radical","Misiones","AFIRMATIVO"
"ARRIETA, LOURDES MICAELA","Fuerzas Del Cielo - Espacio Liberal F.c.e","Mendoza","AFIRMATIVO"
"ARROYO, DANIEL","Union Por La Patria","Buenos Aires","NEGATIVO"
"ARRUA, ALBERTO","Innovacion Federal","Misiones","AFIRMATIVO"
"AUBONE, ANA FABIOLA","Union Por La Patria","San Juan","NEGATIVO"
"AVEIRO, MARTIN","Union Por La Patria","Mendoza","NEGATIVO"
"AVICO, BELEN","Pro","Córdoba","AFIRMATIVO"
"AVILA, FERNANDA","Union Por La Patria","Catamarca","NEGATIVO"
"AVILA, JORGE ANTONIO","Encuentro Federal","Chubut","AUSENTE"
"BACHEY, KARINA ETHEL","Pro","San Luis","AFIRMATIVO"
"BALDASSI, HECTOR W.","Pro","Córdoba","AFIRMATIVO"
"BALLEJOS, NANCY","Pro","Entre Ríos","AFIRMATIVO"
"BANFI, KARINA","Ucr - Union Civica Radical","Buenos Aires","AFIRMATIVO"
"BARLETTA, MARIO","Unidos","Santa Fe","AUSENTE"
"BASTERRA, LUIS EUGENIO","Union Por La Patria","Formosa","NEGATIVO"
"BENEDETTI, ATILIO","Ucr - Union Civica Radical","Entre Ríos","AFIRMATIVO"
"BENEDIT, BELTRAN","La Libertad Avanza","Entre Ríos","AFIRMATIVO"
"BENEGAS LYNCH, BERTIE","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"BERMEJO, ADOLFO","Union Por La Patria","Mendoza","NEGATIVO"
"BERTOLDI, TANYA","Union Por La Patria","Neuquén","AUSENTE"
"BESANA, GABRIELA","Pro","Buenos Aires","AFIRMATIVO"
"BIANCHETTI, EMMANUEL","Pro","Misiones","AFIRMATIVO"
"BIASI, VANINA","Partido Obrero -frente De Izquierda Y De Trabajadores -unidad","C.A.B.A.","NEGATIVO"
"BONACCI, ROCIO","La Libertad Avanza","Santa Fe","AFIRMATIVO"
"BONGIOVANNI, ALEJANDRO","Pro","Santa Fe","AFIRMATIVO"
"BORDET, GUSTAVO","Union Por La Patria","Entre Ríos","NEGATIVO"
"BORNORONI, GABRIEL","La Libertad Avanza","Córdoba","AFIRMATIVO"
"BORREGO, VICTORIA","Coalicion Civica","Buenos Aires","AFIRMATIVO"
"BRAMBILLA, SOFIA","Pro","Corrientes","AFIRMATIVO"
"BROUWER DE KONING, GABRIELA","Ucr - Union Civica Radical","Córdoba","AFIRMATIVO"
"BRUGGE, JUAN FERNANDO","Encuentro Federal","Córdoba","AFIRMATIVO"
"CAFIERO, SANTIAGO","Union Por La Patria","Buenos Aires","NEGATIVO"
"CALLETTI, PAMELA","Innovacion Federal","Salta","AFIRMATIVO"
"CAMPAGNOLI, MARCELA","Coalicion Civica","Buenos Aires","AFIRMATIVO"
"CAMPERO, MARIANO","Ucr - Union Civica Radical","Tucumán","AFIRMATIVO"
"CAMPITELLI, CELIA","Union Por La Patria","Santiago del Estero","NEGATIVO"
"CAPOZZI, SERGIO EDUARDO","Pro","Rio Negro","AFIRMATIVO"
"CARBAJAL, FERNANDO","Democracia Para Siempre","Formosa","AFIRMATIVO"
"CARIGNANO, FLORENCIA","Union Por La Patria","Santa Fe","NEGATIVO"
"CARRIZO, ANA CARLA","Democracia Para Siempre","C.A.B.A.","AFIRMATIVO"
"CARRIZO, SOLEDAD","Ucr - Union Civica Radical","Córdoba","AUSENTE"
"CARRO, PABLO","Union Por La Patria","Córdoba","NEGATIVO"
"CASAS, SERGIO GUILLERMO","Union Por La Patria","La Rioja","NEGATIVO"
"CASTAGNETO, CARLOS DANIEL","Union Por La Patria","Buenos Aires","NEGATIVO"
"CASTILLO, CHRISTIAN","Pts-frente De Izquierda Unidad","Buenos Aires","NEGATIVO"
"CERVI, PABLO","Ucr - Union Civica Radical","Neuquén","AFIRMATIVO"
"CHAHER, LEILA","Union Por La Patria","Jujuy","NEGATIVO"
"CHICA, JORGE","Union Por La Patria","San Juan","NEGATIVO"
"CHOMIAK, MARIA LUISA","Union Por La Patria","Chaco","NEGATIVO"
"CHUMPITAZ, GABRIEL FELIPE","Pro","Santa Fe","AFIRMATIVO"
"CIPOLINI, GERARDO","Ucr - Union Civica Radical","Chaco","AFIRMATIVO"
"CISNEROS, CARLOS","Union Por La Patria","Tucumán","AUSENTE"
"COBOS, JULIO","Ucr - Union Civica Radical","Mendoza","AFIRMATIVO"
"COLETTA, MARIELA","Democracia Para Siempre","C.A.B.A.","AFIRMATIVO"
"COLI, MARCELA","Democracia Para Siempre","La Pampa","AFIRMATIVO"
"CORREA LLANO, FACUNDO","La Libertad Avanza","Mendoza","AFIRMATIVO"
"D'ALESSANDRO, CARLOS","La Libertad Avanza","San Luis","AFIRMATIVO"
"DAIVES, RICARDO","Union Por La Patria","Santiago del Estero","NEGATIVO"
"DE LA SOTA, NATALIA","Encuentro Federal","Córdoba","AUSENTE"
"DE LOREDO, RODRIGO","Ucr - Union Civica Radical","Córdoba","AFIRMATIVO"
"DE SENSI, MARIA FLORENCIA","Pro","Buenos Aires","AFIRMATIVO"
"DEL CAÑO, NICOLAS","Pts-frente De Izquierda Unidad","Buenos Aires","NEGATIVO"
"DIEZ, ROMINA","La Libertad Avanza","Santa Fe","AFIRMATIVO"
"DOMINGO, AGUSTIN","Innovacion Federal","Rio Negro","AFIRMATIVO"
"EMMA, NICOLAS","La Libertad Avanza","C.A.B.A.","AFIRMATIVO"
"ESPERT, JOSE LUIS","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"ESTEVEZ, GABRIELA BEATRIZ","Union Por La Patria","Córdoba","NEGATIVO"
"ESTRADA, EMILIANO","Union Por La Patria","Salta","NEGATIVO"
"FALCONE, EDUARDO","Mid - Movimiento De Integracion Y Desarrollo","Buenos Aires","AFIRMATIVO"
"FEIN, MONICA","Encuentro Federal","Santa Fe","AFIRMATIVO"
"FERNANDEZ MOLERO, DAIANA","Pro","C.A.B.A.","AFIRMATIVO"
"FERNANDEZ PATRI, RAMIRO","Union Por La Patria","Formosa","NEGATIVO"
"FERNANDEZ, AGUSTIN","Independencia","Tucumán","AFIRMATIVO"
"FERNANDEZ, CARLOS ALBERTO","Innovacion Federal","Misiones","AFIRMATIVO"
"FERNANDEZ, ELIA MARINA","Independencia","Tucumán","AFIRMATIVO"
"FERRARO, MAXIMILIANO","Coalicion Civica","C.A.B.A.","AFIRMATIVO"
"FERREYRA, ALIDA","La Libertad Avanza","C.A.B.A.","AFIRMATIVO"
"FIGUEROA CASAS, GERMANA","Pro","Santa Fe","AFIRMATIVO"
"FINOCCHIARO, ALEJANDRO","Pro","Buenos Aires","AFIRMATIVO"
"FRADE, MONICA","Coalicion Civica","Buenos Aires","AFIRMATIVO"
"FREITES, ANDREA","Union Por La Patria","Tierra del Fuego","NEGATIVO"
"GAILLARD, ANA CAROLINA","Union Por La Patria","Entre Ríos","NEGATIVO"
"GARCIA ARESCA, IGNACIO","Encuentro Federal","Córdoba","AFIRMATIVO"
"GARCIA, CARLOS","La Libertad Avanza","Chaco","AFIRMATIVO"
"GARRAMUÑO, RICARDO","Somos Fueguinos","Tierra del Fuego","AFIRMATIVO"
"GARRIDO, JOSE LUIS","Por Santa Cruz","Santa Cruz","AUSENTE"
"GINOCCHIO, SILVANA MICAELA","Union Por La Patria","Catamarca","NEGATIVO"
"GIORGI, MELINA","Democracia Para Siempre","Santa Fe","AFIRMATIVO"
"GIUDICI, SILVANA","Pro","C.A.B.A.","AFIRMATIVO"
"GIULIANO, DIEGO A.","Union Por La Patria","Santa Fe","NEGATIVO"
"GLINSKI, JOSE","Union Por La Patria","Chubut","NEGATIVO"
"GOLLAN, DANIEL","Union Por La Patria","Buenos Aires","AUSENTE"
"GOMEZ, JOSE","Union Por La Patria","Santiago del Estero","AUSENTE"
"GONZALEZ, ALVARO","Pro","C.A.B.A.","AFIRMATIVO"
"GONZALEZ, GERARDO GUSTAVO","La Libertad Avanza","Formosa","AFIRMATIVO"
"GONZALEZ, GUSTAVO CARLOS MIGUEL","Union Por La Patria","Santa Cruz","NEGATIVO"
"GUTIERREZ, CARLOS","Encuentro Federal","Córdoba","AUSENTE"
"GUTIERREZ, RAMIRO","Union Por La Patria","Buenos Aires","NEGATIVO"
"HAGMAN, ITAI","Union Por La Patria","C.A.B.A.","NEGATIVO"
"HELLER, CARLOS","Union Por La Patria","C.A.B.A.","NEGATIVO"
"HERRERA, BERNARDO JOSE","Union Por La Patria","Santiago del Estero","NEGATIVO"
"HERRERA, RICARDO","Union Por La Patria","La Rioja","NEGATIVO"
"HUESEN, GERARDO","La Libertad Avanza","Tucumán","AFIRMATIVO"
"IANNI, ANA MARIA","Union Por La Patria","Santa Cruz","NEGATIVO"
"IBAÑEZ, MARIA CECILIA","Mid - Movimiento De Integracion Y Desarrollo","Córdoba","AFIRMATIVO"
"IGLESIAS, FERNANDO ADOLFO","Pro","C.A.B.A.","AFIRMATIVO"
"IPARRAGUIRRE, ROGELIO","Union Por La Patria","Buenos Aires","NEGATIVO"
"JULIANO, PABLO","Democracia Para Siempre","Buenos Aires","AFIRMATIVO"
"KIRCHNER, MAXIMO CARLOS","Union Por La Patria","Buenos Aires","NEGATIVO"
"KLIPAUKA LEWTAK, FLORENCIA","La Libertad Avanza","Misiones","AFIRMATIVO"
"LASPINA, LUCIANO ANDRES","Pro","Santa Fe","AFIRMATIVO"
"LEDESMA, TOMAS","Union Por La Patria","Entre Ríos","NEGATIVO"
"LEIVA, ALDO","Union Por La Patria","Chaco","NEGATIVO"
"LEMOINE, LILIA","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"LITZA, MONICA","Union Por La Patria","Buenos Aires","NEGATIVO"
"LLANCAFILO, OSVALDO","Movimiento Popular  Neuquino","Neuquén","AFIRMATIVO"
"LLANO, MERCEDES","La Libertad Avanza","Mendoza","AFIRMATIVO"
"LOMBARDI, HERNAN","Pro","Buenos Aires","AFIRMATIVO"
"LOPEZ MURPHY, RICARDO HIPOLITO","Encuentro Federal","C.A.B.A.","AFIRMATIVO"
"LOPEZ RODRIGUEZ, DANTE","Union Por La Patria","Catamarca","NEGATIVO"
"LOPEZ, JUAN MANUEL","Coalicion Civica","Buenos Aires","AFIRMATIVO"
"LOSPENNATO, SILVIA","Pro","Buenos Aires","AFIRMATIVO"
"MACHA, MONICA","Union Por La Patria","Buenos Aires","NEGATIVO"
"MACYSZYN, LORENA","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"MANES, FACUNDO","Democracia Para Siempre","Buenos Aires","AFIRMATIVO"
"MANRIQUE, MARIO","Union Por La Patria","Buenos Aires","NEGATIVO"
"MAQUIEYRA, MARTIN","Pro","La Pampa","AFIRMATIVO"
"MARIN, VARINIA LIS","Union Por La Patria","La Pampa","NEGATIVO"
"MARINO, JUAN","Union Por La Patria","Buenos Aires","NEGATIVO"
"MARQUEZ, NADIA","La Libertad Avanza","Neuquén","AFIRMATIVO"
"MARTINEZ, ALVARO","La Libertad Avanza","Mendoza","AFIRMATIVO"
"MARTINEZ, GERMAN PEDRO","Union Por La Patria","Santa Fe","NEGATIVO"
"MARZIOTTA, GISELA","Union Por La Patria","C.A.B.A.","NEGATIVO"
"MASSOT, NICOLAS","Encuentro Federal","Buenos Aires","ABSTENCION"
"MASTALER, MAGALI","Union Por La Patria","Santa Fe","NEGATIVO"
"MAYORAZ, NICOLAS","La Libertad Avanza","Santa Fe","AFIRMATIVO"
"MEDINA, GLADYS","Independencia","Tucumán","AFIRMATIVO"
"MENEM, MARTIN","La Libertad Avanza","La Rioja","AFIRMATIVO"
"MILMAN, GERARDO","Pro","Buenos Aires","AFIRMATIVO"
"MIRABELLA, ROBERTO","Defendamos Santa Fe","Santa Fe","NEGATIVO"
"MOLLE, MATIAS","Union Por La Patria","Buenos Aires","NEGATIVO"
"MONTENEGRO, GUILLERMO","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"MONTI, FRANCISCO","Ucr - Union Civica Radical","Catamarca","AFIRMATIVO"
"MONTOTO, MARIA LUISA","Union Por La Patria","Santiago del Estero","NEGATIVO"
"MONZO, EMILIO","Encuentro Federal","Buenos Aires","AFIRMATIVO"
"MONZON, ROXANA","Union Por La Patria","Buenos Aires","NEGATIVO"
"MORAN, MICAELA","Union Por La Patria","Buenos Aires","NEGATIVO"
"MORCHIO, FRANCISCO","Encuentro Federal","Entre Ríos","AFIRMATIVO"
"MOREAU, CECILIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"MOREAU, LEOPOLDO","Union Por La Patria","Buenos Aires","NEGATIVO"
"MORENO OVALLE, JULIO","La Libertad Avanza","Salta","AFIRMATIVO"
"MORENO, MARIA DE LOS ANGELES","Produccion Y Trabajo","San Juan","AFIRMATIVO"
"MOYANO, NILDA","Union Por La Patria","Santiago del Estero","NEGATIVO"
"NEDER, ESTELA MARY","Union Por La Patria","Santiago del Estero","NEGATIVO"
"NIERI, LISANDRO","Ucr - Union Civica Radical","Mendoza","AFIRMATIVO"
"NOBLEGA, SEBASTIAN","Union Por La Patria","Catamarca","NEGATIVO"
"NUÑEZ, JOSE","Pro","Santa Fe","AFIRMATIVO"
"OLIVETO LAGO, PAULA","Coalicion Civica","C.A.B.A.","AFIRMATIVO"
"OMODEO, PAULA","Creo","Tucumán","AFIRMATIVO"
"OROZCO, EMILIA","La Libertad Avanza","Salta","AFIRMATIVO"
"OSUNA, BLANCA INES","Union Por La Patria","Entre Ríos","NEGATIVO"
"OUTES, PABLO","Innovacion Federal","Salta","AFIRMATIVO"
"PAGANO, MARCELA MARINA","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"PALAZZO, SERGIO OMAR","Union Por La Patria","Buenos Aires","NEGATIVO"
"PAPONET, LILIANA","Union Por La Patria","Mendoza","NEGATIVO"
"PAROLA, MARIA GRACIELA","Union Por La Patria","Formosa","NEGATIVO"
"PASSO, MARCELA FABIANA","Union Por La Patria","Buenos Aires","NEGATIVO"
"PAULI, SANTIAGO","La Libertad Avanza","Tierra del Fuego","AFIRMATIVO"
"PAULON, ESTEBAN","Encuentro Federal","Santa Fe","AFIRMATIVO"
"PEDRALI, GABRIELA","Union Por La Patria","La Rioja","AUSENTE"
"PEDRINI, JUAN MANUEL","Union Por La Patria","Chaco","NEGATIVO"
"PELUC, JOSE","La Libertad Avanza","San Juan","AFIRMATIVO"
"PENACCA, PAULA ANDREA","Union Por La Patria","C.A.B.A.","NEGATIVO"
"PEREYRA, JULIO","Union Por La Patria","Buenos Aires","NEGATIVO"
"PICAT, LUIS ALBINO","Ucr - Union Civica Radical","Córdoba","AFIRMATIVO"
"PICHETTO, MIGUEL ANGEL","Encuentro Federal","Buenos Aires","ABSTENCION"
"PICON MARTINEZ, NANCY VIVIANA","Produccion Y Trabajo","San Juan","AFIRMATIVO"
"PIPARO, CAROLINA","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"POKOIK, LORENA","Union Por La Patria","C.A.B.A.","NEGATIVO"
"POLINI, JUAN CARLOS","Democracia Para Siempre","Chaco","AFIRMATIVO"
"PONCE, MARIA CELESTE","La Libertad Avanza","Córdoba","AFIRMATIVO"
"POTENZA, LUCIANA","Union Por La Patria","Buenos Aires","NEGATIVO"
"PROPATO, AGUSTINA LUCRECIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"QUETGLAS, FABIO JOSE","Ucr - Union Civica Radical","Buenos Aires","AFIRMATIVO"
"QUINTAR, MANUEL","La Libertad Avanza","Jujuy","AFIRMATIVO"
"QUIROZ, MARILU","Pro","Chaco","AFIRMATIVO"
"RANDAZZO, FLORENCIO","Encuentro Federal","Buenos Aires","AFIRMATIVO"
"RAUSCHENBERGER, ARIEL","Union Por La Patria","La Pampa","NEGATIVO"
"RAZZINI, VERONICA","Pro","Santa Fe","AFIRMATIVO"
"REYES, ROXANA","Ucr - Union Civica Radical","Santa Cruz","AFIRMATIVO"
"RITONDO, CRISTIAN A.","Pro","Buenos Aires","AFIRMATIVO"
"RIZZOTTI, JORGE","Democracia Para Siempre","Jujuy","AFIRMATIVO"
"RODRIGUEZ MACHADO, LAURA","Pro","Córdoba","AFIRMATIVO"
"ROMERO, ANA CLARA","Pro","Chubut","AFIRMATIVO"
"ROMERO, JORGE ANTONIO","Union Por La Patria","Corrientes","NEGATIVO"
"RUIZ, YAMILA","Innovacion Federal","Misiones","AFIRMATIVO"
"SANCHEZ, ROBERTO ANTONIO","Ucr - Union Civica Radical","Tucumán","AFIRMATIVO"
"SAND, NANCY","Union Por La Patria","Corrientes","NEGATIVO"
"SANTILLAN JUAREZ BRAHIM, JULIANA","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"SANTILLI, DIEGO","Pro","Buenos Aires","AFIRMATIVO"
"SANTORO, LEANDRO","Union Por La Patria","C.A.B.A.","NEGATIVO"
"SANTURIO, SANTIAGO","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"SARAPURA, NATALIA SILVINA","Ucr - Union Civica Radical","Jujuy","AFIRMATIVO"
"SCHLOTTHAUER, MONICA LETICIA","Izquierda Socialista Fit-unidad","Buenos Aires","NEGATIVO"
"SELVA, SABRINA","Union Por La Patria","Buenos Aires","NEGATIVO"
"SILEY, VANESA RAQUEL","Union Por La Patria","Buenos Aires","NEGATIVO"
"SNOPEK, GUILLERMO","Union Por La Patria","Jujuy","NEGATIVO"
"SORIA, MARTIN","Union Por La Patria","Rio Negro","NEGATIVO"
"SOTOLANO, MARIA","Pro","Buenos Aires","AFIRMATIVO"
"STOLBIZER, MARGARITA","Encuentro Federal","Buenos Aires","AFIRMATIVO"
"STRADA, JULIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"TAILHADE, RODOLFO","Union Por La Patria","Buenos Aires","NEGATIVO"
"TAVELA, DANYA","Democracia Para Siempre","Buenos Aires","AFIRMATIVO"
"TETAZ, MARTIN ALBERTO","Ucr - Union Civica Radical","C.A.B.A.","AFIRMATIVO"
"TODERO, PABLO","Union Por La Patria","Neuquén","NEGATIVO"
"TOLOSA PAZ, VICTORIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"TONIOLLI, EDUARDO","Union Por La Patria","Santa Fe","NEGATIVO"
"TORRES, ALEJANDRA","Encuentro Federal","Córdoba","AFIRMATIVO"
"TORTORIELLO, ANIBAL","Pro","Rio Negro","AFIRMATIVO"
"TOURNIER, JOSE FEDERICO","Ucr - Union Civica Radical","Corrientes","AFIRMATIVO"
"TREFFINGER, CESAR","La Libertad Avanza","Chubut","AFIRMATIVO"
"VALDES, EDUARDO FELIX","Union Por La Patria","C.A.B.A.","NEGATIVO"
"VANCSIK, DANIEL","Innovacion Federal","Misiones","AFIRMATIVO"
"VARGAS MATYI, BRENDA","Union Por La Patria","Buenos Aires","NEGATIVO"
"VASQUEZ, PATRICIA","Pro","Buenos Aires","AFIRMATIVO"
"VEGA, YOLANDA","Innovacion Federal","Salta","AFIRMATIVO"
"VERASAY, PAMELA FERNANDA","Ucr - Union Civica Radical","Mendoza","AFIRMATIVO"
"VIDAL, MARIA EUGENIA","Pro","C.A.B.A.","AFIRMATIVO"
"VILCA, ALEJANDRO","Pts-frente De Izquierda Unidad","Jujuy","NEGATIVO"
"VILLAVERDE, LORENA","La Libertad Avanza","Rio Negro","AFIRMATIVO"
"VOLNOVICH, LUANA","Union Por La Patria","Buenos Aires","NEGATIVO"
"YASKY, HUGO","Union Por La Patria","Buenos Aires","NEGATIVO"
"YEDLIN, PABLO RAUL","Union Por La Patria","Tucumán","NEGATIVO"
"YEZA, MARTIN","Pro","Buenos Aires","AFIRMATIVO"
"YUTROVIC, CAROLINA","Union Por La Patria","Tierra del Fuego","NEGATIVO"
"ZABALA CHACUR, NATALIA","Union Por La Patria","San Luis","AUSENTE"
"ZAGO, OSCAR","Mid - Movimiento De Integracion Y Desarrollo","C.A.B.A.","AFIRMATIVO"
"ZAPATA, CARLOS RAUL","La Libertad Avanza","Salta","AFIRMATIVO"
"ZARACHO, NATALIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"ZULLI, CHRISTIAN ALEJANDRO","Union Por La Patria","Corrientes","NEGATIVO"